Ticker,GLD,GLD,GLD,GLD,GLD,IVV,IVV,IVV,IVV,IVV,IEF,IEF,IEF,IEF,IEF
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2005-01-03,42.97999954223633,43.16999816894531,42.7400016784668,43.02000045776367,4750400,82.77863272495479,82.91467303629958,81.64272336961385,81.9352035522461,578300,48.89696802359597,49.03516328004643,48.8451480971833,49.01213073730469,323400
2005-01-04,42.79999923706055,42.90999984741211,42.459999084472656,42.7400016784668,3456800,82.07806571948214,82.07806571948214,80.64287245361241,80.94895935058594,845400,49.012182767662125,49.012182767662125,48.70124970008074,48.70700454711914,1181000
2005-01-05,42.75,42.880001068115234,42.599998474121094,42.66999816894531,2033600,80.94217545904554,81.20064440324818,80.45924377441406,80.45924377441406,618400,48.75876011326963,48.86816355479154,48.71845427581526,48.78755187988281,369000
2005-01-06,42.47999954223633,42.560001373291016,42.06999969482422,42.150001525878906,2556400,80.64967803071372,81.1190081722592,80.56805381801614,80.78571319580078,518500,48.73575601745312,48.88546538378961,48.73575601745312,48.833641052246094,389100
2005-01-07,42.09000015258789,42.38999938964844,41.70000076293945,41.84000015258789,4492700,80.99656041757308,81.17340506367117,80.48642085275038,80.63606262207031,583900,48.908524466946304,48.943071111378806,48.77032910319277,48.79336166381836,182400
2005-01-10,41.9900016784668,42.06999969482422,41.88999938964844,41.95000076293945,1025800,80.70409634185667,81.35027117750288,80.62927544222491,81.044189453125,577600,48.833612556254366,48.85088585901955,48.735727578580445,48.78755187988281,226300
2005-01-11,42.209999084472656,42.279998779296875,42.119998931884766,42.209999084472656,1507300,80.73131735341359,80.84694778432034,80.3708194279926,80.49324798583984,237400,48.82789597335931,48.91426255485233,48.78183086788954,48.885475158691406,483900
2005-01-12,42.52000045776367,42.790000915527344,42.47999954223633,42.599998474121094,1738000,80.62927196290923,80.93535367407907,80.04431142161721,80.80612182617188,621800,48.86824321418446,48.99491577195179,48.82793731102804,48.96036911010742,100600
2005-01-13,42.38999938964844,42.599998474121094,42.34000015258789,42.599998474121094,718300,80.78573185226864,80.86735608381633,80.05113452597988,80.13955688476562,804600,49.01212444502674,49.167588597314285,48.92575351908577,49.15607452392578,101600
2005-01-14,42.189998626708984,42.31999969482422,42.130001068115234,42.31999969482422,1262300,80.35041423294511,80.71771549644816,80.2211823511014,80.58168029785156,470200,49.04089503380747,49.196363525871675,49.00058920123644,49.12726593017578,510300
2005-01-18,42.220001220703125,42.380001068115234,42.150001525878906,42.31999969482422,666800,80.41843355994457,81.43871307373047,80.34361264711414,81.43871307373047,3292200,49.02367158781811,49.127315890260014,48.96033315893634,49.110042572021484,215100
2005-01-19,42.650001525878906,42.650001525878906,42.20000076293945,42.2599983215332,1578900,81.32309624846661,81.37070909587206,80.54088592529297,80.54088592529297,762100,49.1158115547995,49.15611743635725,49.035199791684,49.13883972167969,95500
2005-01-20,42.119998931884766,42.31999969482422,42.11000061035156,42.25,1276200,80.2959764065125,80.49322582167056,79.9082705118565,80.05790710449219,628500,49.104298254446014,49.230975150698164,49.06975160747255,49.225215911865234,151800
2005-01-21,42.31999969482422,42.81999969482422,42.290000915527344,42.7400016784668,889800,80.19397267415609,80.33681118665689,79.49338155547645,79.51378631591797,1468200,49.202148561189574,49.32882536787495,49.167601938642285,49.32307052612305,324700
2005-01-24,42.7400016784668,42.81999969482422,42.66999816894531,42.77000045776367,2294900,79.71103442707987,79.89468244536046,79.2621089766456,79.41175079345703,657500,49.32310390418562,49.3634097887697,49.24248774200554,49.317344665527344,217000
2005-01-25,42.529998779296875,42.560001373291016,42.099998474121094,42.2400016784668,1332500,79.62940757078044,79.98310215294592,79.50017051700388,79.58179473876953,378500,49.28850553221769,49.3230565379752,49.09273553595861,49.13304138183594,270900
2005-01-26,42.59000015258789,42.779998779296875,42.560001373291016,42.689998626708984,541800,79.90151547407702,80.08516356065009,79.69065930256504,79.84709930419922,369700,49.16761339246451,49.21367849526463,49.11579344657187,49.14458084106445,674400
2005-01-27,42.47999954223633,42.650001525878906,42.400001525878906,42.619998931884766,571200,79.76543211875979,80.18034610929648,79.68381309728292,79.96949005126953,477000,49.063965800906736,49.069725036621094,49.023659936925625,49.069725036621094,60300
2005-01-28,42.709999084472656,42.72999954223633,42.43000030517578,42.689998626708984,1149100,80.0103054824065,80.05112018557381,79.41854677527661,79.74503326416016,731700,49.19639371943767,49.33458460263582,49.19639371943767,49.32307052612305,103200
2005-01-31,42.209999084472656,42.29999923706055,41.959999084472656,42.220001220703125,1692400,80.32320339108898,80.5408680044091,80.16676343702767,80.45924377441406,916800,49.282744673192546,49.34608305648269,49.213651449972446,49.340328216552734,74900
2005-02-01,42.09000015258789,42.13999938964844,41.95000076293945,42.099998474121094,1088900,80.56807268999336,81.0782124626765,80.40482941576958,80.97618865966797,323800,49.335130671273085,49.37555965939214,49.26004952374605,49.30625534057617,115300
2005-02-02,42.220001220703125,42.22999954223633,42.02000045776367,42.15999984741211,956500,81.02379356674442,81.43190430706208,80.97618073353085,81.23464965820312,650900,49.32938799169967,49.33516041746195,49.219650212170016,49.31205749511719,220900
2005-02-03,41.560001373291016,41.7400016784668,41.5,41.68000030517578,2446400,81.08499685996775,81.1598177576563,80.80612321446318,81.03738403320312,565200,49.127270674080464,49.231231689453125,49.127270674080464,49.231231689453125,65000
2005-02-04,41.59000015258789,41.650001525878906,41.38999938964844,41.470001220703125,1819400,81.03738448807783,82.01005097407973,81.03738448807783,81.87401580810547,487300,49.43913807280063,49.61240784572709,49.43913807280063,49.48534393310547,414100
2005-02-07,41.54999923706055,41.54999923706055,41.209999084472656,41.27000045776367,1754000,81.88763914117322,82.06448905574682,81.75840206636056,81.76520538330078,1707000,49.51421841999369,49.600848890790154,49.473789398144376,49.58352279663086,149600
2005-02-08,41.189998626708984,41.400001525878906,41.04999923706055,41.2599983215332,1296800,81.84001757152437,82.15970597127955,81.77880329382306,81.86722564697266,410300,49.57193700419045,49.693223980356514,49.50840510147066,49.62969207763672,120800
2005-02-09,41.029998779296875,41.36000061035156,41.02000045776367,41.310001373291016,3477900,82.01686493763425,82.0372696962387,81.207441583594,81.23464965820312,732200,49.618175820898,49.87229919433593,49.618175820898,49.87229919433594,325200
